timestamp[us],RBid,x[m],y[m],z[m],qx,qy,qz,qw,vx[m/s],vy[m/s],vz[m/s],wxbody[rad/s],wybody[rad/s],wzbody[rad/s]
6323754916301,166,-1.45114,-1.92149,-2.88427,-0.148838,0.0612466,0.631883,0.758169,4.59135e-41,-2.19168e-17,-1.54143e-43,0,0,0
6323754927412,166,-1.45114,-1.92149,-2.88428,-0.148763,0.0614033,0.632013,0.758062,0.000171648,-0.00130881,0.000600767,0,0,0
6323754938523,166,-1.4511,-1.9215,-2.88427,-0.147784,0.0614693,0.631955,0.758297,0.0115648,0.000579311,0.00150192,0,0,0
6323754949634,166,-1.45116,-1.92149,-2.88428,-0.148645,0.0614494,0.631893,0.758182,-0.000343295,0.00111571,0.00364751,0,0,0
6323754960745,166,-1.45115,-1.92148,-2.8843,-0.148807,0.0612547,0.631675,0.758348,0.00120175,0.00306875,-0.000901312,0,0,0
6323754971856,166,-1.45116,-1.92148,-2.88426,-0.148651,0.0610252,0.631965,0.758155,-0.00186667,-0.00165211,-0.0021456,0,0,0
6323754982967,166,-1.45113,-1.92151,-2.88429,-0.147902,0.0615638,0.632023,0.758209,0.00660962,-0.00285416,0.00257518,0,0,0
6323754994078,166,-1.45116,-1.92147,-2.88427,-0.149136,0.0611658,0.631982,0.758034,-0.00188846,-0.000278978,-0.00300437,0,0,0
6323755005189,166,-1.45115,-1.92148,-2.88426,-0.149233,0.0610226,0.631861,0.758128,-0.00326189,-0.00508598,-0.000257518,0,0,0
6323755016287,166,-1.45115,-1.92147,-2.88428,-0.149268,0.0606444,0.631837,0.758171,0.0012691,0.00101098,0.00137665,0,0,0
6323755027398,166,-1.45113,-1.92147,-2.88428,-0.148363,0.0614266,0.632108,0.75806,-0.00199576,0.0022962,-0.000772553,0,0,0
6323755038509,166,-1.45117,-1.92145,-2.88425,-0.149229,0.0612305,0.631929,0.758055,-0.00354087,0.0021889,0.00253226,0,0,0
6323755049620,166,-1.45114,-1.92146,-2.88428,-0.148814,0.0614666,0.63231,0.7578,0.00233912,0.000493576,-0.000686714,0,0,0
6323755060732,166,-1.45115,-1.92148,-2.88429,-0.148545,0.0612418,0.632004,0.758126,-0.000321839,0.00210268,-0.00175939,0,0,0
6323755071843,166,-1.45114,-1.92146,-2.88425,-0.148554,0.0612583,0.632051,0.758083,0.000407663,0.00158774,0.00240307,0,0,0
6323755082954,166,-1.45114,-1.92145,-2.88424,-0.148908,0.0615063,0.631737,0.758256,0.000150192,0.00137318,-0.000171648,0,0,0
6323755094065,166,-1.45116,-1.92147,-2.88428,-0.149306,0.0610036,0.632093,0.757921,0.00128736,-0.000321839,-0.0025318,0,0,0
6323755105176,166,-1.45115,-1.92147,-2.88426,-0.14915,0.061345,0.632027,0.757979,0.000493487,-0.00212414,-0.00137318,0,0,0
6323755116289,166,-1.45114,-1.9215,-2.88427,-0.149117,0.061139,0.63203,0.758,0.00478382,-0.00508415,-0.00175907,0,0,0
6323755127400,166,-1.45113,-1.92148,-2.88427,-0.148512,0.0612974,0.632064,0.758078,0.00296145,-0.0027254,0.000214598,0,0,0
6323755138512,166,-1.45115,-1.92148,-2.8843,-0.148656,0.061091,0.632011,0.75811,-0.000557855,8.58238e-05,-0.00313257,0,0,0
6323755149622,166,-1.45114,-1.92149,-2.88427,-0.149273,0.0610243,0.631982,0.758019,0.00596583,-0.000300437,-0.000686714,0,0,0
