timestamp[us],RBid,x[m],y[m],z[m],qx,qy,qz,qw,vx[m/s],vy[m/s],vz[m/s],wxbody[rad/s],wybody[rad/s],wzbody[rad/s]
6663286287908,167,-3.53237,0.813564,-1.46562,0.0045472,0.163644,0.211513,0.963568,4.59135e-41,-2.58897e-10,-1.54143e-43,0,0,0
6663286299019,167,-3.53236,0.813575,-1.4656,0.00480792,0.163864,0.211521,0.963527,0.00128759,0.00706028,-0.0112879,0,0,0
6663286310130,167,-3.53238,0.813568,-1.46556,0.00449935,0.163559,0.2116,0.963563,-0.00330481,0.00212452,-0.000343357,0,0,0
6663286321233,167,-3.53238,0.813556,-1.46556,0.00450622,0.163559,0.21155,0.963574,0.000515778,-0.000967084,0.00122497,0,0,0
6663286332353,167,-3.53237,0.813599,-1.46559,0.00431156,0.163595,0.211504,0.963579,-0.0426974,-0.0633273,0.135902,0,0,0
6663286343464,167,-3.53238,0.813541,-1.46556,0.00443763,0.16355,0.21155,0.963576,-0.000944062,-0.00880767,0.00298238,0,0,0
6663286354574,167,-3.53236,0.813577,-1.46556,0.00396599,0.163329,0.211587,0.963607,0.00278978,0.00450656,0.00405591,0,0,0
6663286365686,167,-3.53236,0.81358,-1.46555,0.00447964,0.163954,0.211527,0.963512,0.00158774,0.00329349,0.00343295,0,0,0
6663286376831,167,-3.53237,0.813561,-1.46553,0.00423794,0.163408,0.211509,0.96361,-0.000213255,-0.000575787,0.00827428,0,0,0
6663286387942,167,-3.53236,0.813573,-1.46555,0.00422605,0.163517,0.211517,0.96359,-8.58393e-05,0.00392715,-0.000600875,0,0,0
6663286399053,167,-3.53236,0.813572,-1.46557,0.00439806,0.1637,0.211506,0.96356,0.000343357,-0.000901312,-0.000579415,0,0,0
6663286410165,167,-3.53239,0.813547,-1.46555,0.00417461,0.163558,0.211407,0.963607,-0.0054069,-0.00248889,0.00145901,0,0,0
6663286421276,167,-3.53236,0.81356,-1.46555,0.00420823,0.163496,0.211491,0.963599,0.00351878,0.00376552,-0.000171648,0,0,0
6663286432387,167,-3.53238,0.813533,-1.46553,0.00396919,0.163421,0.211556,0.963598,-0.0028751,-0.00661916,0.00845365,0,0,0
6663286443498,167,-3.53238,0.81356,-1.46556,0.00424228,0.163566,0.211593,0.963564,-0.00210268,-0.000429119,-0.000493487,0,0,0
6663286454608,167,-3.53236,0.813574,-1.46558,0.00406322,0.163211,0.211597,0.963625,-0.000643794,0.00127686,-0.00620189,0,0,0
6663286465720,167,-3.53238,0.813565,-1.46554,0.00410443,0.163254,0.211486,0.963641,-0.00171648,-0.00346514,0.00272491,0,0,0
6663286476831,167,-3.53239,0.813575,-1.46556,0.00401778,0.163419,0.211716,0.963564,-0.00115862,0.0012659,-0.00645824,0,0,0
6663286487932,167,-3.53235,0.813555,-1.46552,0.00415443,0.163479,0.211504,0.963599,0.00416246,-0.0064797,0.00963372,0,0,0
6663286499043,167,-3.53237,0.813535,-1.46553,0.00400505,0.163369,0.211411,0.963639,-0.00236016,-0.00301456,0.00339004,0,0,0
6663286510154,167,-3.53239,0.813572,-1.46556,0.00430575,0.163411,0.211416,0.963629,-0.00205977,-0.00634024,0.00607204,0,0,0
6663286521265,167,-3.53235,0.813604,-1.46562,0.00472336,0.163785,0.211369,0.963574,0.00441993,0.00556782,-0.00780997,0,0,0
6663286532376,167,-3.53239,0.813574,-1.46555,0.00457827,0.163545,0.21141,0.963607,-0.00755386,-0.000600875,0.00358379,0,0,0
6663286543487,167,-3.53238,0.813564,-1.46556,0.00414878,0.16367,0.211645,0.963536,-0.00128759,-0.00325116,0.00590145,0,0,0
6663286554598,167,-3.53237,0.813556,-1.46555,0.00424638,0.163623,0.211614,0.96355,-0.00103007,-0.00150219,0.00817619,0,0,0
6663286565710,167,-3.53238,0.813558,-1.46554,0.00416581,0.163217,0.21161,0.96362,-0.00480613,-0.0016092,0.00858238,0,0,0
6663286576821,167,-3.53237,0.813563,-1.46555,0.00396532,0.163561,0.211591,0.963567,0.000257471,-0.00183448,0.00351878,0,0,0
