timestamp[us],RBid,x[m],y[m],z[m],qx,qy,qz,qw,vx[m/s],vy[m/s],vz[m/s],wxbody[rad/s],wybody[rad/s],wzbody[rad/s]
6324445828521,168,-2.46164,-2.53228,-1.92443,0.146428,-0.0202239,-0.0553467,0.987465,4.59163e-41,-2.31178e-09,-1.54143e-43,0,0,0
6324445839632,168,-2.46097,-2.53923,-1.92748,0.140854,-0.0227768,-0.0448607,0.988751,0.0657529,-0.627013,-0.286617,0,0,0
6324445850743,168,-2.46013,-2.54589,-1.93025,0.133675,-0.0269973,-0.0337708,0.990082,0.0753669,-0.598042,-0.247453,0,0,0
6324445861855,168,-2.45928,-2.55237,-1.93276,0.126582,-0.0304695,-0.02356,0.991208,0.0645395,-0.550517,-0.230351,0,0,0
6324445872965,168,-2.45831,-2.55868,-1.93492,0.117052,-0.0341412,-0.0145534,0.992432,0.0973417,-0.542075,-0.183717,0,0,0
6324445884077,168,-2.45724,-2.56449,-1.93693,0.106955,-0.037069,-0.00564582,0.993557,0.107709,-0.509794,-0.165661,0,0,0
6324445895188,168,-2.45601,-2.56991,-1.93874,0.0956632,-0.0406816,0.00234968,0.994579,0.122256,-0.476494,-0.16137,0,0,0
6324445906299,168,-2.4548,-2.57491,-1.94028,0.0867737,-0.0460751,0.0111011,0.9951,0.100929,-0.431007,-0.144012,0,0,0
6324445917410,168,-2.45359,-2.57961,-1.94161,0.0753688,-0.0488157,0.0189756,0.995779,0.109402,-0.407221,-0.131913,0,0,0
6324445928505,168,-2.45233,-2.58422,-1.94239,0.0666564,-0.0513721,0.0281726,0.996054,0.102345,-0.426587,-0.0490269,0,0,0
6324445939616,168,-2.45079,-2.58794,-1.94303,0.0534652,-0.0552291,0.035071,0.996424,0.134853,-0.362714,0.00729634,0,0,0
6324445950727,168,-2.44941,-2.59146,-1.94429,0.0389572,-0.0571132,0.0383019,0.996872,0.137042,-0.279621,-0.120175,0,0,0
6324445961838,168,-2.44788,-2.59477,-1.94501,0.0313789,-0.06221,0.045779,0.996519,0.149875,-0.255973,-0.133244,0,0,0
6324445972950,168,-2.44628,-2.59798,-1.94546,0.0239739,-0.0624039,0.0530089,0.996354,0.150707,-0.319737,-0.00750959,0,0,0
6324445984061,168,-2.44544,-2.60217,-1.94405,0.0302215,-0.0857755,0.0584624,0.994139,-0.0772844,-0.398866,0.15238,0,0,0
6324445995172,168,-2.44273,-2.60297,-1.94693,0.00649471,-0.062449,0.0612823,0.996144,0.201643,-0.192846,-0.0699679,0,0,0
